6077	6144	Sakhnin	Street, Sakhnin, Israel	סכנין
6078	6145	Sakhnin	Street, Sakhnin, Israel	סכנין
6079	6146	Sakhnin	Street, Sakhnin, Israel	סכנין
6080	6147	Sakhnin	Street, Sakhnin, Israel	סכנין
6081	6148	Sakhnin	Street, Sakhnin, Israel	סכנין
6082	6151	Sakhnin	805, Sakhnin, Israel	סכנין
18247	21234	Ein Mahel	Street, Ein Mahel, Israel	עין מאהל
18249	21236	Ein Mahel	Street, Ein Mahel, Israel	עין מאהל
18250	21237	Ein Mahel	Street, Ein Mahel, Israel	עין מאהל
18251	21238	Ein Mahel	Street, Ein Mahel, Israel	עין מאהל
18252	21239	Ein Mahel	Street, Ein Mahel, Israel	עין מאהל
5175	5127	Daburiyya	Arterial, Daburiyya, Israel	Daburiyya
5194	5150	Daburiyya	7266, Daburiyya, Israel	Daburiyya
5195	5151	Daburiyya	7266, Daburiyya, Israel	Daburiyya
5196	5152	Daburiyya	Arterial, Daburiyya, Israel	Daburiyya
5197	5153	Daburiyya	Arterial, Daburiyya, Israel	Daburiyya
5183	5135	Shibli-Umm Al-Ghanam	Rehov 220, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5189	5145	Shibli-Umm Al-Ghanam	Rehov 230, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5190	5146	Shibli-Umm Al-Ghanam	Street, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5191	5147	Shibli-Umm Al-Ghanam	Rehov 260, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5192	5148	Shibli-Umm Al-Ghanam	280, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5193	5149	Shibli-Umm Al-Ghanam	Rehov 320, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5198	5154	Shibli-Umm Al-Ghanam	Rehov 340, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5199	5155	Shibli-Umm Al-Ghanam	Rehov 340, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5200	5156	Shibli-Umm Al-Ghanam	Rehov 320, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
5201	5157	Shibli-Umm Al-Ghanam	Rehov 290, Shibli-Umm Al-Ghanam, Israel	שיבלי אום אל ראנם
6302	6398	Ma'Alot-Tarshiha	Shoham, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6303	6399	Ma'Alot-Tarshiha	Sapir, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6304	6400	Ma'Alot-Tarshiha	Marfah, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6305	6401	Ma'Alot-Tarshiha	29 HaHagana, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6306	6402	Ma'Alot-Tarshiha	4 Yasmin, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6307	6403	Ma'Alot-Tarshiha	22 Yasmin, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6308	6405	Ma'Alot-Tarshiha	1 Narkis, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6309	6406	Ma'Alot-Tarshiha	45 Yakinton, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6310	6407	Ma'Alot-Tarshiha	Yakinton, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6311	6408	Ma'Alot-Tarshiha	29 Yasmin, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6312	6409	Ma'Alot-Tarshiha	Mem Gimel Hama'Pilim, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
6362	6464	Ma'Alot-Tarshiha	Mem Gimel Hama'Pilim, Ma'Alot-Tarshiha, Israel	מעלות תרשיחא
